ㄷㄱㅎㅈㄷㅀ > 강서유서 | 안녕하세요~^^
  청기사   >   쥬비아   | 쥬비아 멜군인데, 전메 말 가려서 하셈 지금 눈에 뵈이는거 없는 애들한테 그런 말 툭 던지면 불 더 잘 타게 지피는 수준임
  쥬비아   >   청기사   | 나도 위성국이라보고 비재야망명가는입장인데 재밌다는 전메로빡도면 사람인성아닌거아닌가 삼모원투데이도아니고
바닥을탁치고 >    くま    | 쿠마님 시상 쳐보시는게 좋을거같아요 ㅎㅎ
   무광    >   박일아   | 무슨 일이시졉?
  박일아   >    무광    | 으음 IRC에서 혹시 대화 가능할까요?
  청기사   >   쥬비아   | 지금 뭔 상황인지는 처음부터 못봐서 그런데, 아얄 접속되면 설명 가능함?
  청기사   >   쥬비아   | 그 나라 위성국임??
    KAITO     >   박일아   | 옙 말씀하세요
  박일아   >     KAITO     | 혹시 IRC에서 대화 가능할까요?
  쥬비아   >   청기사   | 나도 3시에 일어나서ㅌㅌ 롤중이라 아얄은안되고 종횡이랑싸우고있었는데 우리군주가 종횡에 종전요청했는데 첨에 안된댓다가 선포받고 종전받아들인듯함
  청기사   >   쥬비아   | ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뭐하는거냐 대체
  쥬비아   >   청기사   | 여기까진 별문제없는데 그뒤에 오간국메에서 탈취비없으면 원조주겠다이런거봐서 위성국이라판단후 망명대기중
   무광    >   박일아   | 어디채널로가면 되나요?
  하루카   >   박일아   | 으음..원조 얼마정도 필요하신가요?
  청기사   >   쥬비아   | ???????//// 미친
  쥬비아   >   청기사   | 사실 서로 살려고 하다보니 이런일이일어난거같음
  박일아   >    무광    | #임시외교채널 로 와주세욥
  박일아   >     KAITO     | #임시외교채널 로 와주세욥
  청기사   >   쥬비아   | --... 게임 참 잘 굴러간다
제갈여포 >   정휘인   | 혹시 계시면 어번턴 저 남해 발령좀 부탁드려요
  쥬비아   >   청기사   | 일분장이라 뭐 방관자모드지만 전쟁후 종전 계략금지원은 누가봐도 이상하기에ㅋㅋㅋㅋ
  청기사   >   쥬비아   | ㅋㅋㅋ 몰것다 나도 어차피 1분장이라 로마토탈워나 하러가야겠다
  박일아   >   하루카   | ..저희야 당연히 많을수록 좋죠...ㅋㅋㅋ
  하루카   >   박일아   | 으응..그..저희가 외교제한이라는게 걸려있다고 당장은 안되는데, 20턴 정도 있어야할것같아요..
  박일아   >   하루카   | 혹시 금액은 어디까지 가능하세요?
  박일아   >   류화영   | 류화영님! 혹시.. 성수나 농상으로 턴 전환 가능할까요..? 성수가 좀더 좋아요 +_+
  박일아   > 그래도우리는 | 그래도우리는님! 혹시.. 성수나 농상으로 턴 전환 가능할까요..? 성수가 좀더 좋아요 +_+
   무광    >      DVa      | 계양 비었어요 첩보해서 보이니깐 확인한번하시고 고고
  하루카   >   박일아   | 으음..저희도 곧 쟁이라 정확한 금액은 잘 모르겠어요..한 2/2정도까진 괜찮다고 하시는데..
  쥬비아   >   청기사   | 님 등용장좀 보내주세요 님이랑 갠메하느라 진리님꺼날아감;;
  박일아   >   하루카   | 원하시는 조건을 + 해서 조금 더 얻을수는 없을까요 ... ?
  하루카   >   박일아   | 으음..저희가 긔엽긔에 받을 수 있는게 마땅히 없는것같아서..
  박일아   >   하루카   | 혹시 4/4로 가능하다면.. 승전시, 영안,이릉,강릉,상용,완을 추가로 드리고, 패전시 저와 귀모충차장(SARS) + 데려갈 장수들을 조금 더 동원해서 임관토록 하겠습니다.
  하루카   >   박일아   | 좋은 장수분들이지만 부덕한 군주 밑에서 고통받으실까봐 안될거같아요.. 그렇지만 마음은 정말 감사합니다! 금액은 최대한 맞춰서 보낼 수 있도록 노력해볼께요..
  박일아   >   하루카   | 감사합니다 ㅠㅠ...
  하루카   >   박일아   | 몇몇 분들이 천통해도 될 분이라고 돈 보내라고 막 협박을..; 20턴 후에 최대한 요구사항에 맞게 보내겠습니다만..조금 부족해도 이해해주세요~
  박일아   >   하루카   | 말씀 감사합니다.. 정말 열심히 싸워보겠습니다...
카이사르 >    장임    | 저 훈사중인데 무릉발령보다는 쌀부터 주시는게 좋지않을까요?
  정휘인   >  Navy마초  | 마초님 이거 보시면 바닥님 후방발령턴 넣어주세요~ 포상턴 제가 넣었어요!
  소드락   >   쥬비아   | 아뇨 괜찮요. 사실 저도 망하면 블소 갈까 했는데 살려줘서... 못한 탈취나 하렵니다 ㅋ
  쥬비아   >   소드락   | 저도 무장이였으면 탈취나갈겼을텐데 ㅜㅜ 즐거운탈취되시길ㅜㅜ
   니쉬    >    장임    | 부대..
   비월    >   魯堂首   | 기술 3등급 찍었습니다~ 상위병종 징병이 가능합니다~ 보시고 상위병종을 뽑아주세요~
   비월    >    狂三    | 기술 3등급 찍었습니다~ 상위병종 징병이 가능합니다~ 보시고 상위병종을 뽑아주세요~
   비월    >    읭읭    | 기술 3등급 찍었습니다~ 상위병종 징병이 가능합니다~ 보시고 상위병종을 뽑아주세요~
   비월    > 랜임1분장 | 기술 3등급 찍었습니다~ 상위병종 징병이 가능합니다~ 보시고 상위병종을 뽑아주세요~
   비월    >   전인호   | 기술 3등급 찍었습니다~ 상위병종 징병이 가능합니다~ 보시고 상위병종을 뽑아주세요~
   비월    >   다이스   | 기술 3등급 찍었습니다~ 상위병종 징병이 가능합니다~ 보시고 상위병종을 뽑아주세요~
   비월    >   쥬비아   | 기술 3등급 찍었습니다~ 상위병종 징병이 가능합니다~ 깡귀병 버리시고 상위병종을 뽑아주세요~
   비월    > 카이스트 | 기술 3등급 찍었습니다~ 상위병종 징병이 가능합니다~ 보시고 상위병종을 뽑아주세요~ 예턴 맞춰주시고 징병턴 넣어주세요~
   비월    >   쥬비아   | 소집해제 할필요 없이 그냥 징병하면 됩니다~~~~
   장임    > 카이사르 | 스핀발령으로 남만보냈으니 교지출 ㄱㄱㄱ // 그리고 저 1시턴에 남만발령해주세요
  북오더   >    니쉬    | 보컬국이랑 선포한거 땅따인가요? 쟁인가요?
   니쉬    >   북오더   | 제가 외교를 보질 못한지라 뭐라 드릴 말씀이 ; - ;
  북오더   >    니쉬    | 그럼 땅따라 생각하고 그쪽 임관 안해야겠네요..ㅇㅅㅇ;;
   니쉬    >   북오더   | 아뇨아뇨 오늘은 제가 접 자체를 모바로만 해서 무슨 외교가 있는지를 모른다는 말이었어요.
  북오더   >    니쉬    | 알겠습니당
바닥을탁치고 >     KAITO     | 군주님 irc는 안하세요?
    KAITO     > 바닥을탁치고 | 하는데 요즘 아얄 잘 안되지 않나요?
바닥을탁치고 >     KAITO     | 계속 열어 놓으시는거면 아이디 알려주세요 급할때 연락드리겠슴다 ㅋㅋ
    KAITO     > 바닥을탁치고 | hanirc Nana^ 입니다~
바닥을탁치고 >     KAITO     | 넵 저는 코삭입니다 자주있진않아요ㅜ
    SARS     >   하루카   | 임금 계속 유지하실건가요...?
  정휘인   >    くま    | 전방발령턴좀 부탁드릴게요!!!!!!
  정휘인   > 코토와르 | 꼰대님 쌀포상좀요!!!!!!
  정휘인   > 코토와르 | 쿠마님 전방발령도 부탁드리겠습니다ㅠㅠ
   비월    >   쥬비아   | 12시턴에 부대 해체되고 12시59분부터 새로운 부대운용하게 됩니다. 번거로우시겠지만 12시전에 부대 갈아타 주세요~
   비월    >   魯堂首   | 12시턴에 부대 해체되고 12시59분부터 새로운 부대운용하게 됩니다. 번거로우시겠지만 12시전에 부대 갈아타 주세요~
   비월    > 카이스트 | 12시턴에 부대 해체되고 12시59분부터 새로운 부대운용하게 됩니다. 번거로우시겠지만 12시전에 부대 갈아타 주세요~
   비월    >   다이스   | 12시턴에 부대 해체되고 12시59분부터 새로운 부대운용하게 됩니다. 번거로우시겠지만 12시전에 부대 갈아타 주세요~
   비월    > 랜임1분장 | 12시턴에 부대 해체되고 12시59분부터 새로운 부대운용하게 됩니다. 번거로우시겠지만 12시전에 부대 갈아타 주세요~
   비월    >   전인호   | 12시턴에 부대 해체되고 12시59분부터 새로운 부대운용하게 됩니다. 번거로우시겠지만 12시전에 부대 갈아타 주세요~
  하루카   > 평민킬러 | 킬러님 1턴 업출병요 아얄좀 와주세요
  하루카   >     SARS     | ㅠㅠ 원조 5턴 후에 보내드릴께요 힘내세요..
   니콜    > 南ことり | 저 쌀 증여좀 부탁드릴게요 잔뜩보내주세욧
   니콜    >    狂三    | 쌀좀 가져갈게요 ㅠ
南ことり >    니콜    | 일단 쌀 10000 보냈어요. 59분에 갑니다.
   니콜    > 南ことり | 사랑해욧
    SARS     >   하루카   | 아뇨 원조는 이제 와도 힘들거같아요 ㅎㅎ. 그 자원 그냥 아끼시고, 혹시 제가 임관할 수는 없나요 ㅜㅜ
  하루카   >     SARS     | 으음; 일단 임관 희망자가 있으면 열어드리긴 하는 편입니다. 나중에 오실 때 턴시간 알려주세요!
南ことり >    니콜    | 남자의 사랑은 정중히 거절합니다.
   니콜    > 南ことり | 보내주신쌀은 우리여신 카요찡에게 감사합니다
    SARS     >   하루카   | 넵~
南ことり >    니콜    | 햇반 던져드릴깝쇼~?ㅋㅋㅋ
   무광    >      DVa      | 땅교환때 여강드셔주세요~
   비월    >   갸오오   | 이번엔 제가 젤 먼저!!!!!! 부탁드립니닷!!
    KAITO     >      Air      | 전쟁 수고하셨습니다 연쟁할테니 오세요~
    KAITO     >     Anes     | 전쟁 수고하셨습니다 연쟁할테니 오세요~
    KAITO     >     SARS     | 전쟁 수고하셨습니다 연쟁할테니 오세요~
    KAITO     >   ㅇωㅇ   | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >      橙      | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >    감정    | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >   갸오오   | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >    검임    | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     > 국민기업 | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     > 그래도우리는 | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     > 그만좀불러좀 | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >    낭군    | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >    누렁    | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >   류화영   | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >   박일아   | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >   박희수   | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >    부관    | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     > 북두칠성 | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >   북오더   | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >    비밀    | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >   샤그니   | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     > 야근탈출 | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     > 여자친구 | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     > 잠둥이션 | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >   정력왕   | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >   최태원   | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >    쿠요    | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >    플젠    | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     > 하기싫은데 | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
    KAITO     >   희지재   | 전쟁 수고하셨습니다 계속 전쟁이 예정되어있으니 오세요~
   장임    > 카이사르 | 저 양양발령좀
  박희수   >     KAITO     | 어디랑 쟁해여??
  갸오오   >     KAITO     | 블소국에서 먼저 연락이 와서..  갠매 감사하지만 죄송합니다
  갸오오   >    비월    | 금방가요~
    KAITO     >   박희수   | 종횡국이용
   비월    >   갸오오   | 좋아 삼고초려 끝에 제갈량을 영입...했다....
   카토    > 잠둥이션 | 저희가 남는 턴이 없어서 등용장은 안되고 임금은 풀어드릴 수 있는데 턴 불러주시면 열어드릴게요. 모병쟁합니다.
잠둥이션 >    카토    | ??? 왜 임관금지 걸어놓으셨어요 ?
    SARS     > 잠둥이션 | 여기오셈 균주한테 임금 풀어달라하고
잠둥이션 >    카토    | 49분 임관 넣었어요~ 들어가면 금포 쌀 포 부탁 ㅠㅠ
잠둥이션 >     SARS     | okok 이
   카토    > 잠둥이션 | 숙딸국이라 걸어놨어요 실접장만 받을라구요ㅋ 실접이 좀 중요해서 아얄도 와주시면 정말 감사드릴거에요!
잠둥이션 >    카토    | 헐.. 저 아얄은 안하는 유저인데.... 안 받아주시나요...
   카토    > 잠둥이션 | 아뇨 안하시면 어쩔 수 없죠. 접속만 자주해주시면 되요! ㅎㅎ
잠둥이션 >    카토    | 감사합니당 49분 턴 임관이에요~
   카토    > 잠둥이션 | 넹 오시면 포상 빠르게 드릴게요 ㅎㅎ
  최태원   >     KAITO     | 23분전 등용장 가능한가요?
    KAITO     >   최태원   | 출근중이어서 못봤어요 죄송함다 ㅠ
북두칠성 >   하루카   | 임관할게요 금쌀요 반징훈사내 반복할게요
  하루카   > 북두칠성 | 죄송해요 지금 임관희망자가 생각보다 많았기에 금쌀이 없네요..; 임관을 거절하게 되서 죄송하고..다른 국가에 가시더라도 즐거운 기수가 되시길 기도할께요..
카이사르 >    니쉬    | 니쉬님 저 오늘저녁 9시나 10시턴에 남만으로 발령주세요~ 보컬국이 땅따할때 수비하면서 병력소진시키려구요~
카이사르 > 북두칠성 | 1시 12분에 망명장 날라가니까... 편하게 겜하실 생각 있으시면 오세요!
   플젠    > 북두칠성 | 등용장드림
북두칠성 >    플젠    | 금쌀도 주시미
  하루카   > 평민킬러 | 1턴 잠둥이션 진양발령요
평민킬러 >   하루카   | 네
   니쉬    > 카이사르 | 9시 발령 넣어드렸습니다~
북두칠성 >    무광    | 여기 임관 해달레서 왔더니 대우가 안좋으미 금700원 들고 있으미 쌀 0이미 무광 왕께선 나에게 전쟁자금 줄수 있나미
   비월    >   청기사   | 청기사님 오시면 북두칠성님 금/쌀 증여좀 부탁드리구요 그 담턴부터 호관, 남피 첩보좀 부탁 드리겠습니다.
   비월    >   청기사   | 그리고 195년 까진 기술 안 뚫리니까 농/상 또는 성/수 올려주시면 감사하겠습니다. 성/수 올리실꺼면 전방 발령해 드릴테니 말씀해 주세요
  하루카   > 평민킬러 | 잠둥이션 카토 일본어번역기 쌀2천 포상 순서대로 부탁합니다.
북두칠성 >    무광    | 포상준다네요 ㅎㅎ
   비월    >    진리    | http://www.62che.com/bbs/bbs/board.php?bo_table=0free&wr_id=35023&sca=&sfl=wr_subject&stx=irc&sop=a
   비월    >    진리    | 댓글 보세요
   니콜    >   청기사   | 북두칠성님 쌀포상좀 부탁드려요오
   비월    >    읭읭    | 읭읭님 남피출이 아니라 호관출 부탁드립니다.
  하루카   > 평민킬러 | 훈사 다하시고 1출 업입니다
   검임    >    무광    | 불러주신건 감사하나 요슴 삼모할 시간이 안나서 멸망하기전에도 집합장만 했습니다. 별도의 부름이없으면 성벽쌓다가 늙어죽으렵니다
   무광    > 북두칠성 | 여긴 이제 캄옥국 스멜이라 하하;;
   니콜    >   청기사   | 내정의달인님 금 6천 몰수해주세요 제가 포상넣을게요
   니콜    >   청기사   | 저 1턴에 업발령부탁드림
   니콜    >    플젠    | 내쌀 3천 몰수
   니콜    >    진리    | 플젠님 턴안바뀌고 제북오더님쌀포 제대로안들어가면 제쌀 몰수좀 6천
   니콜    >   청기사   | 오시면 쌀3천 포상 북오더 부탁드림
   니콜    >   이쓰미   | 오시면 쌀3천 포상 Anes 부탁드림
   니콜    > 南ことり | 포상턴좀 넣어주실수 있나요
南ことり >    니콜    | 가능함요
   니콜    >   북오더   | anes님 쌀 3천 포상 부탁드림
   니콜    >   청기사   | 북오더님포상 쌀3천 부탁드릴게여 넣어주세요
   니콜    > 南ことり | 갸오오님 금 3천 포상부탁드려요
   니콜    > 南ことり | 아니다 니콜 금 1만 몰수
南ことり >    니콜    | 금 몰수 넣었슈~ 13분 뒤에 발동 됩니당~
  북오더   >    니콜    | 진리님이 이미 넣으셨던데..
   니콜    >   북오더   | 진리님이 와서 수정해야져
   니콜    >   북오더   | 아니면 평원발령 부탁드림 보낼만한분이 누군지모르겠어여 ㅠ
  북오더   >    니콜    | 니콜님 사령1턴 플젠 북해발령으로 변경해주세요.
  북오더   >    니콜    | 니콜님 1턴에 북오더 북해발령으로 변경해주세요. 혜리님 저격할께요
   니콜    > 南ことり | 저 진류 가능?
   니콜    > 南ことり | 발령
  북오더   >    니콜    | 니콜님 평원 병력없애고, 첩보해놓고, 발령해놓을테니 상황봐서 출병하세요.
南ことり >    니콜    | 지금 봤는데 해드려요?
南ことり >    니콜    | 일단 발려 넣어놨어요. 5시턴 실행전에 한번 더 확인할테니 변경 사항 있음 말씀해주세요.
   카토    > 평민킬러 | 턴전에 보시면 강서유서님 진양 발령이요
  하루카   > 평민킬러 | 차오루 성도발령 부탁합니다!
평민킬러 >   하루카   | 네
  하루카   > 평민킬러 | 출병 평원 부탁합니다
  하루카   > 평민킬러 | 【안돼요안돼요】에게 쌀 10000을 포상 도 가져가주세요
  다이스   > 랜임1분장 | 넹 방금 접함
  다이스   > 랜임1분장 | ?
잠둥이션 >   하루카   | 갠메 보내요?
바닥을탁치고 >      橙      | 橙님 막타는 엄백호님 드리는게.. 삽턴안나고 좋지않을까요?ㅜ
바닥을탁치고 >      橙      | 발령은 드렸는데.. 못치실듯합니다ㅜ
   무광    >      진      | 병력해산용으로 쌀몰수포상한번했숩니다
  하루카   >     SARS     | 북해보냄 동황부터 올라가주셈
카이사르 >    무광    | 저 1-2시쯤 완으로 일단 발령을 ...
카이사르 >    무광    | 저 1-2시쯤 완으로 일단 발령을 ...
   무광    > 카이사르 | 사기부터 하세욤
카이사르 >    무광    | 소드락국 아니면 종횡무진이나 블소국인데 불가침기간동안 털수있나요? ㅋㅋㅋ 우리 소드락국이란 접경생기면 바로 선포하실건가요?
   무광    > 카이사르 | 소드락국은 바로 선포해야죠 ㅋㅋ
   무광    >     KAITO     | 불가침은 어떻게 할까요?
  소드락   >   하루카   | 호로 막아주실수 있나요? 완 털고 싶은뎈ㅋㅋ
  소드락   >   하루카   | 음.... 접속에서 호로를 치는군요? 일단 막는건 포기하고....... 흠 알아서 해보겠습니다
  하루카   >   소드락   | 음 노력해보겠습니다.
  하루카   >   소드락   | 다만 저희도 방락각이라 으음~
  박일아   > 잠둥이션 | 턴전에 보시면 수춘 칩시다
    KAITO     >    무광    | 지금부터 15년 정도 할까요?
    KAITO     >    무광    | 아 그리고 돌아오는 8월에 종횡에 선포할 예정입니다..
   무광    >     KAITO     | 네 저흰 198년 8월에 불가침끝나고 200년 8월에 참전가능합니다.
   무광    >    니쉬    | 발명이시니 지금부타 기연부탁드려요 4등급까진 올려보죠
    SARS     >   소드락   | 귀모장인데 등용장좀 보내주세요~
   무광    >     Anes     | 안녕하세요 anes님 저희도 월요일 아침8시부터 종횡무진국과 개전할 예정입니다. 도와주세요! 비록 저희국에 기병병종은 없지만ㅜㅜ
   무광    >    狂三    | 쿠루미님 수고하셨습니다 ㅜㅜ 다음 종횡무진과의 전쟁은 저희와 함께 하시는게 어떻습니까
   무광    > 南ことり | 미나미코토리님 수고하셨숩니다! 다음 종횡전은 저희와 함께 해주세요!!!
   무광    >   ㅇωㅇ   | ㅇωㅇ님 다음 전쟁은 저희랑 함께 해요!!!  월요일아침에 종횡과 개전할예정입니당
   무광    >   魯堂首   | 당수님 저희도 월요일 오전에 종횡에 개전할 예정인데 도와주세요!!
   무광    >   갸오오   | 갸오오님 수고하셨습니다 월요일부터 있을 종횡전을 도와주시지 않겠습니까
   무광    >    낭군    | 안녕하세요 낭군님~ 다음 전쟁은 저희랑 같이 하시지 않겠습니까? 월요일 오전에 종횡무진국과 개전할 예정입니다
   무광    >    누렁    | 안녕하세요 누렁님 수고하셨숩니다. 다음 종횡무진과의 전쟁. 월요일부터 예정입니다만 도와주세요! 동물파워!
   무광    >   다이스   | 안녕하세요 다이스님. 강궁병이 곧 나오는 저희국과 월요일부터의 종횡무진전을 함께해요!!!!
   무광    >    니콜    | 안녕하세요 니콜님! 다음 전쟁에서 저희국에서 충차장 해주시면 감솨하겠숩니다 도와주세요!@!@
   무광    > 북두칠성 | 안녕하세요 북두칠성님. 일전의 갠메도 받았지만, 월요일 오전에 종횡과 개전 할 예정입니다. 지금 열심히 주민복지를 위해 불꽃내정중입니다.
   무광    >   북오더   | 수고하셨습니다 북오더님. 저희는 월요일 오전에 종횡무진국과 개전예정이며 돚거국과 접경발생시 바로 선포할 예정입니다. 저희를 도와주세요!!!!
   무광    >    비밀    | 수고하셨숩니다 비밀님. 다음 전쟁은 양양산 강궁병으로 하시는 게 어떻겠숩니까. 월요일 오전에 종횡국과 개전예정입니다
   무광    >    비월    | 비월님 수고 많으셨습니다. 저희국은 월요일 오전에 종횡국과 개전을 예정하고있으며, 소드락국과 접경시 당장 선포하여 돚거질을 응징할 예정입니다. 저희 국에 힘을 빌려주세요!!!!
   무광    >    아소    | 수고하셨습니다 아소님!! 저희 국은 월요일 오전부터 종횡국과 개전예정입니다!!! 저희국에서 아소빔을 발사해주세요 ㅌㅌ...
   무광    >   청기사   | 수고하셨습니다 청기사님. 월요일 개전을 앞둔 저희국 기술이 많이 딸리고 있숩니다. 아직 미개한 저희 국 기술을 발전시켜주소서 ㅠㅜㅠ
   무광    >   이쓰미   | 안녕하세요 이쓰미님 !! 수고하셧숩니다 ㅜㅜ 저희국도 월요일 오전부터 종횡국과 전쟁예정입니다! 여기 오셔서 함께 전쟁해요!!~
   무광    > 그래도우리는 | 안녕하세요 그래도우리는님. 종횡무진국과의 전쟁 수고하셨습니다. 이후엔 저희와 함게 하시는게 어떻실런지요?
   무광    >   샤그니   | 도와주십시오 재야키ㅇ.. 아니 샤그니님 디아3 시즌5쩔좀.. 은아니고 국방제작자가 업스니다 텍스트 5줄 국방국을 구원해주소서
   무광    >   전인호   | 안녕하세요 전인호님 종횡국과의 전쟁 수고하셧습니다. 월요일 오전에 종횡국과 개전하는 저희국에게 힘을 빌려주십사하고 갠메드립니다.
   무광    >    진리    | 진리님 종횡무진국과의 전쟁 고생많으셨습니다. 저희국은 조금 늦지만 월요일 오전 8시에 종횡무진국과 개전할 예정이며, 돚거국과는 노타협으로 접경시 바로 선포해 응징할 생각입니다.
   무광    >    진리    | 저희국에 오셔서 함께 해주시면 감사하겠습니다 !!!
   무광    > 카이스트 | 카이스트님 종횡국과의 전쟁 수고하셨습니다. 저희국은 월요일 오전에 종횡국과 개전할 예정에 있습니다. 저희와 함께 해주시지 않겠습니까?물론 돚거국도 신속 소탕예정입니다
   무광    >   쥬비아   | 종횡국과의 전쟁 대단히 수고많으셨습니다 쥬비아님. 저희국은 오전 8시부터 종횡국과 개전예정입니다. 돚거국은 접경발생시 즉시선포 예정입니다. 저희를 도와주세요!!!!
   무광    >   희지재   | 블소국과의 전쟁 수고하셨숩니다 희지재님. 이후부턴 저희와 함께 하시는게 어떠십니까? 주민복지를 최우선으로 노력하고있습니다
   무광    >    플젠    | 안녕하세요 플젠님. 월요일 오전부터 종횡무진국과 개전을 예정하고 있습니다. 저희국에 힘을 보태주세요!!
   무광    >    읭읭    | 읭읭님 저희를 도와주세요!!! 월욜 아침에 종횡국과 개전예정입니다
  소드락   >     SARS     | 여기 외교에 구체적으로 모르시는거 같은데... 블소 멸망후 방랑으로 되어 있습니다. 오셔도 곧 아이템 사서 튈겁니다
   비밀    >    무광    | 전 궁병이 아니라 귀병입니다
카이사르 >    장임    | 새로오신분들 포상좀 주세요... 저랑 장임님이 1분밖에 차이안나니까.. 제가 엠장이나 집합장들 금쌀 몰수하면 거기 맞춰서 포상주세요~
    KAITO     >   ㅇωㅇ   | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     > 南ことり | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >   갸오오   | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     > 그래도우리는 | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     > 내정달인 | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >    누렁    | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >   다이스   | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     > 랜임1분장 | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     > 랜임2분장 | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >    부관    | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     > 북두칠성 | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >   북오더   | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >    비월    | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >   샤그니   | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >    아소    | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >    읭읭    | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >   이쓰미   | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     > 일기토지배자 | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >   정력왕   | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >   쥬비아   | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >   천괴금   | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >   청기사   | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     > 카이스트 | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >   태극권   | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >    플젠    | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
    KAITO     >   희지재   | 곧 전쟁이 예정되어있습니다 보컬로이드국으로 놀러오세요~
카이사르 >   이쓰미   | 아직 쟁 아닌데... 모병하시게요? 당장은 포상 줄 수 있는 텀이 없어요.. 몰수를 하고 포상을 해야하는 형편이라..
카이사르 >    장임    | 완 치안 4천까지는 올려놓고 성수하는게 낫지않을까요...
    SARS     >   소드락   | 아놔, 나 귀모도적하고싶다고요 ㅁㄴㅇㄹ
  이쓰미   > 카이사르 | 나뻐 ㅠㅠ 자고 일어나서 임관하자마자의 턴을 보고 타박하다니 ㅠㅠㅠㅠㅠㅠ
카이사르 >   이쓰미   | ㅠㅠ
